Sex,Age,Date,Location,DMA,Cause
M,Adult,5/8/2018,"Clarks Fork Yellowstone, SNF-WY",Inside,"Known, human-caused, humane removal of old bear in very poor condition that was unable to lift hind legs."
M,Adult,5/9/2018,"Green Crk, PR-WY",Inside,"Known, human-caused, management capture and removal for breaking into a building and obtaining a food reward."
,,2018,WY,Inside,Known. Under investigation.
,,2018,WY,Inside,Probable. Under investigation.
,,2018,WY,Inside,Probable. Under investigation.
,,2018,WY,Inside,Probable. Under investigation.
,,2018,WY,Inside,Known. Under investigation.
,,2018,WY,Inside,Probable. Under investigation.
,,2018,WY,Inside,Probable. Under investigation.
M,Adult,7/8/2018,"Crow Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Adult,7/13/2018,"Mosquito Lake, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Adult,7/13/2018,"Wagon Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Subadult,7/20/2018,"Mill Crk, CTNF-ID",Inside,"Known, human-caused, management removal for bold behavior and obtaining unsecured anthropogenic food reward."
F,Subadult,4/29/2018,"Coulter Crk, BTNF-WY",Inside,"Known, natural, likely killed by another bear."
F,Adult,7/25/2018,"Gypsum Crk, BTNF-WY",Inside,"Known, human-caused, management removal for multiple cattle depredations."
Unk,Adult,7/19/2018,"Yellowstone River, BTNF-WY",Inside,"Known, natural, killed and consumed by another bear(s)."
M,Adult,8/1/2018,"Gypsum Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Adult,8/5/2018,"Gypsum Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
,,2018,MT,Inside,Under investigation.
M,Adult,8/13/2018,"Wagon Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Yearling,8/14/2018,"Henrys Fork, PR-ID",Inside,"Known, human-caused, management live removal for bold behavior towards humans at campgrounds and obtaining anthropogenic food rewards at numerous residences."
M,Adult,8/30/2018,"Reader Crk, PR-MT",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Adult,9/3/2018,"North Fork Shoshone, PR-WY",Inside,"Known, human-caused, management capture and removal for property damage and livestock depredations."
M,Subadult,9/6/2018,"Fish Crk, BTNF-WY",Inside,"Known, human-caused, management capture and removal for cattle depredations."
M,Subadult,9/6/2018,"North Fork Shoshone, SNF-WY",Inside,"Known, human-caused, vehicle collision."
F,Adult,9/16/2018,"Soda Fork, BTNF-WY",Inside,"Known, human-caused, management capture and removal for public safety of female with a male yearling involved in human fatality."
M,Yearling,9/16/2018,"Soda Fork, BTNF-WY",Inside,"Known, human-caused, management capture and removal for public safety of male yearling involved in human fatality."
M,Adult,9/10/2018,"Russell Crk, SNF-WY",Inside,"Known, natural, specific mechanism was likely infected injury in the groin area not thought to be human-caused."
F,Adult,9/6/2018,"South Fork Wood River, SNF-WY",Inside,"Known, natural, evidence suggest bear was killed and consumed at site of a deer carcass."
M,Adult,9/21/2018,"North Fork Shoshone, PR-WY",Inside,"Known, human-caused, management capture and removal for obtaining anthropogenic food rewards at numerous residences, property damage and poultry depredation."
M,Adult,9/25/2018,"Corral Crk, SNF-WY",Inside,"Known, human-caused, management capture and removal for obtaining anthropogenic food rewards and prior conflict history."
,,2018,MT,Inside,Probable. Under investigation.
M,Adult,10/1/2018,"West DuNoir Crk, SNF-WY",Inside,"Known, human-caused, self-defense kill by hunter while processing harvested elk."
M,Adult,10/2/2018,"Gention Crk, SNF-WY",Inside,"Known, human-caused, self-defense kill by elk hunter at site of harvested elk"
M,Subadult,10/2/2018,"Thorofare Crk, BTNF-WY",Inside,"Known, human-caused, self-defense kill in hunting camp."
F,Adult,10/3/2018,"Whit Crk, PR-WY",Inside,"Known, human-caused, management capture and removal of female with 2 yearling for obtaining anthropogenic foods and increasingly habituated and bold behavior."
M,Yearling,10/3/2018,"Whit Crk, PR-WY",Inside,"Known, human-caused, management capture and removal of yearling with mother and sibling for obtaining anthropogenic foods and increasingly habituated and bold behavior."
M,Yearling,10/3/2018,"Whit Crk, PR-WY",Inside,"Known, human-caused, management capture and removal of yearling with mother and sibling for obtaining anthropogenic foods and increasingly habituated and bold behavior."
F,Adult,10/3/2018,"Rock Crk, BTNF-WY",Inside,"Known, human-caused, self-defense kill by hunter of an unmarked female with 2 cubs."
Unk,Cub,10/3/2018,"Rock Crk, BTNF-WY",Inside,"Probable, human-caused, 1st of 2 cubs of unmarked female killed in self-defense by hunter."
Unk,Cub,10/3/2018,"Rock Crk, BTNF-WY",Inside,"Probable, human-caused, 2nd of 2 cubs of unmarked female killed in self-defense by hunter."
F,Subadult,10/4/2018,"Yellowstone River, PR-MT",Inside,"Known, human-caused, management capture and removal for frequenting residences, habituated behavior, and public safety concerns."
,,2018,WY,Inside,Known. Under investigation.
F,Subadult,10/16/2018,"Yellowstone River, PR-MT",Inside,"Known, human-caused, management capture and removal for frequenting residences, habituated behavior, and public safety concerns."
F,Adult,10/19/2018,"Corral Crk, SNF-WY",Inside,"Known, human-caused, management capture and removal of bear for property damage, obtaining food rewards, and frequenting developed areas."
M,Adult,10/19/2018,"Reef Crk, SNF-WY",Inside,"Known, human-caused, vehicle collision."
M,Adult,11/22/2018,"Lamar River, YNP",Inside,"Known, natural, remains of an adult male found by wolf researchers, carcass had been consumed, mortality date is approximate."
Unk,Cub,4/29/2018,"Survey Draw, CTNF-ID",Inside,"Probable, likely natural, cub of radio-collared female lost between 4/20 and 5/19. Mortality date and location are approximate."
Unk,Cub,6/9/2018,"Sage Crk, CGNF-MT",Inside,"Probable, likely natural, cub of radio-collared female lost between 5/25 and 6/25. Mortality date and location are approximate."
Unk,Cub,9/10/2018,"Bench Crk, ST-WY",Inside,"Probable, likely natural, cub of radio-collared female lost between 9/4 and 9/16. Mortality date and location are approximate."
M,Adult,4/10/2018,"Rawhide Crk, PR-WY",Outside,"Known, human-caused, management capture and removal frequenting calving area and history of livestock depredations."
M,Adult,4/29/2018,"Pat O'Hara Crk, PR-WY",Outside,"Known, human-caused, management capture and removal frequenting calving area and bold behavior towards humans."
F,Subadult,5/30/2018,"Blaine Crk, BLM-WY",Outside,"Known, human-caused, management removal for association with multiple livestock conflicts bold behavior towards humans."
M,Adult,6/17/2018,"Alkali Crk/Heart Mountain Canal, PR-WY",Outside,"Known, human-caused, accidental, drowned in fast flowing, cement sided canal."
M,Adult,6/22/2018,"Bull Crk, BLM-WY",Outside,"Known, human-caused, management capture for cattle damage, removed because of poor condition and extensive injuries from unknown cause."
M,Adult,6/22/2018,"Foster Gulch, PR-MT",Outside,"Known, human-caused, management capture and removal for cattle depredations."
M,Adult,8/4/2018,"Paint Crk, PR-WY",Outside,"Known, human-caused, management capture and removal for cattle depredations."
F,Adult,8/9/2018,"JK Crk, WRIR",Outside,"Known, human-caused, management capture and removal for cattle depredations."
M,Subadult,9/1/2018,"South Fork Shoshone, PR-WY",Outside,"Known, human-caused, management capture and removal for repeated nuisance activity at residences and property damage."
,,2018,WY,Outside,Known. Under investigation.
M,Adult,9/4/2018,"South Fork Owl Crk, PR-WY",Outside,"Known, human-caused, management capture and removal for cattle depredations."
F,Cub,9/6/2018,"Paint Crk, PR-WY",Outside,"Known, human-caused, handling mortality. Management capture with mother and siblings for cattle depredations."
F,Adult,9/20/2018,"Clarks Fork Yellowstone, PR-WY",Outside,"Known, human-caused, management capture and removal for frequenting agricultural area and public corn maze."
M,Yearling,9/30/2018,"Clarks Fork Yellowstone, PR-WY",Outside,"Known, human-caused, management capture and removal for frequenting agricultural area and public corn maze."
